epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2696,2.03591,3.6346,1.38905,0.01619,0.21935,0.01052,0.00423,1.57666,3.50689,1.20987,2e-05,2e-05,2e-05
2,21.8239,1.95943,3.577,1.34196,0.02524,0.34194,0.01948,0.00948,1.40673,3.43666,1.11433,5.8812e-05,5.8812e-05,5.8812e-05
3,24.1242,1.63888,3.39661,1.1608,0.04333,0.5871,0.05786,0.02927,1.5238,3.32969,1.06814,9.604e-05,9.604e-05,9.604e-05
4,26.4813,1.69978,3.14872,1.16302,0.0481,0.65161,0.08179,0.03904,1.63109,3.2251,1.04295,0.000131684,0.000131684,0.000131684
5,28.7987,1.76749,2.74248,1.06564,0.05048,0.68387,0.099,0.05636,1.42723,3.13066,0.98731,0.000165744,0.000165744,0.000165744
6,31.4223,1.50161,2.21779,1.0475,0.05,0.67742,0.12126,0.06518,1.36941,3.1023,0.98725,0.00019822,0.00019822,0.00019822
7,33.7441,1.50547,1.72437,1.0274,0.05095,0.69032,0.1986,0.10151,1.33896,3.02773,0.97574,0.000229112,0.000229112,0.000229112
8,36.2684,1.36227,1.34238,0.98301,0.05095,0.69032,0.22389,0.13528,1.24502,2.91942,0.95133,0.00025842,0.00025842,0.00025842
9,38.9086,1.33346,1.22388,0.97482,0.05238,0.70968,0.23823,0.15139,1.2054,2.86708,0.94683,0.000286144,0.000286144,0.000286144
10,42.0552,1.3985,1.13364,0.98929,0.05238,0.70968,0.25996,0.17681,1.18388,2.82212,0.94086,0.000312284,0.000312284,0.000312284
11,44.8795,1.41208,1.0805,1.01209,0.09365,0.59355,0.2682,0.18466,1.22151,2.78782,0.93806,0.00033684,0.00033684,0.00033684
12,47.4993,1.26272,1.03027,0.9421,0.76289,0.22581,0.28895,0.19006,1.27437,2.77351,0.94782,0.000359812,0.000359812,0.000359812
13,50.6057,1.36493,1.07393,0.98022,0.0956,0.56401,0.30458,0.19048,1.31224,2.75947,0.96625,0.0003812,0.0003812,0.0003812
14,53.1298,1.35532,1.01394,0.97923,0.05333,0.72258,0.33016,0.20272,1.32885,2.75301,0.98245,0.000401004,0.000401004,0.000401004
15,55.6893,1.28223,0.96668,0.93554,0.05493,0.71613,0.34612,0.21801,1.32566,2.73616,0.97645,0.000419224,0.000419224,0.000419224
16,58.2449,1.25203,0.97334,0.94177,0.08049,0.41935,0.36607,0.24036,1.32468,2.70503,0.96969,0.00043586,0.00043586,0.00043586
17,61.117,1.20098,0.91717,0.93121,0.96554,0.18076,0.39321,0.26453,1.29327,2.62546,0.96058,0.000450912,0.000450912,0.000450912
18,64.3425,1.15014,0.93086,0.94097,0.96192,0.163,0.41741,0.28675,1.27094,2.53292,0.96173,0.00046438,0.00046438,0.00046438
19,67.459,1.12662,0.87721,0.94558,0.9651,0.16774,0.46983,0.31625,1.25483,2.42788,0.95994,0.000476264,0.000476264,0.000476264
20,70.8715,1.19446,0.87278,0.93704,0.9359,0.18842,0.49249,0.33198,1.25578,2.31416,0.96434,0.000486564,0.000486564,0.000486564
21,74.1045,1.18514,0.82994,0.93905,0.93977,0.20137,0.54,0.34675,1.31855,2.25434,0.97066,0.00049528,0.00049528,0.00049528
22,77.7682,1.15442,0.84461,0.90887,0.94592,0.2257,0.60356,0.37898,1.32041,2.16863,0.95626,0.000502412,0.000502412,0.000502412
23,82.6285,1.19332,0.84265,0.92415,0.93757,0.29066,0.63122,0.40459,1.29548,2.1058,0.94994,0.00050796,0.00050796,0.00050796
24,86.6468,1.14466,0.92622,0.9395,0.9209,0.37558,0.66156,0.43792,1.25163,2.0655,0.95354,0.000511924,0.000511924,0.000511924
25,90.5899,1.19691,0.88415,0.9405,0.92575,0.32175,0.64885,0.37921,1.3432,2.12733,0.99387,0.000514304,0.000514304,0.000514304
26,94.0719,1.19995,0.84375,0.94366,0.93116,0.26184,0.60487,0.33079,1.44787,2.18308,1.02443,0.0005151,0.0005151,0.0005151
27,98.6819,1.17332,0.8034,0.94441,0.91681,0.26452,0.62905,0.3472,1.38702,2.14649,1.00417,0.000514312,0.000514312,0.000514312
28,101.655,1.19279,0.79815,0.93734,0.91681,0.26452,0.62905,0.3472,1.38702,2.14649,1.00417,0.00051194,0.00051194,0.00051194
29,105.461,1.13752,0.80914,0.91416,0.8865,0.25195,0.6353,0.38274,1.2583,2.06135,0.9532,0.000507984,0.000507984,0.000507984
30,109.201,0.97639,0.77179,0.91948,0.87174,0.26313,0.64578,0.4114,1.20952,1.98121,0.93948,0.000502444,0.000502444,0.000502444
31,113.093,1.15085,0.81735,0.9202,0.87174,0.26313,0.64578,0.4114,1.20952,1.98121,0.93948,0.00049532,0.00049532,0.00049532
32,116.856,1.12256,0.78445,0.93422,0.91874,0.29179,0.66256,0.43144,1.224,1.92006,0.9432,0.000486612,0.000486612,0.000486612
33,121.09,1.15133,0.80087,0.91683,0.92953,0.3404,0.6842,0.44697,1.21647,1.8517,0.93927,0.00047632,0.00047632,0.00047632
34,123.8,1.13343,0.75363,0.91786,0.92953,0.3404,0.6842,0.44697,1.21647,1.8517,0.93927,0.000464444,0.000464444,0.000464444
35,127.906,1.11201,0.75853,0.90446,0.86215,0.40351,0.67433,0.45269,1.20464,1.78126,0.92775,0.000450984,0.000450984,0.000450984
36,131.698,1.15908,0.75808,0.9101,0.78711,0.47707,0.66804,0.44515,1.19886,1.7152,0.91549,0.00043594,0.00043594,0.00043594
37,135.396,1.11788,0.73808,0.91133,0.78711,0.47707,0.66804,0.44515,1.19886,1.7152,0.91549,0.000419312,0.000419312,0.000419312
38,140.051,1.00951,0.70428,0.89532,0.68214,0.51613,0.65029,0.44674,1.16298,1.64469,0.90763,0.0004011,0.0004011,0.0004011
39,144.221,1.07758,0.7296,0.90999,0.73676,0.54172,0.6841,0.47552,1.13035,1.55768,0.90929,0.000381304,0.000381304,0.000381304
40,147.655,1.04809,0.69157,0.89914,0.73676,0.54172,0.6841,0.47552,1.13035,1.55768,0.90929,0.000359924,0.000359924,0.000359924
41,151.786,1.12974,0.8904,0.93211,0.73366,0.53315,0.70104,0.48827,1.13868,1.50564,0.91308,0.00033696,0.00033696,0.00033696
